patient_text,symptoms,training_text,disease,risk_hint,category
"Patient reports back pain, burning urination and chills since 1 day.",back pain|burning urination|chills,"Patient reports back pain, burning urination and chills since 1 day. Symptoms: back pain, burning urination, chills",Urinary Tract Infection,MEDIUM,Genitourinary
"I have fever, right lower abdominal pain, appetite loss, abdominal pain and vomiting and the discomfort has been there for 5 days.",fever|right lower abdominal pain|appetite loss|abdominal pain|vomiting,"I have fever, right lower abdominal pain, appetite loss, abdominal pain and vomiting and the discomfort has been there for 5 days. Symptoms: fever, right lower abdominal pain, appetite loss, abdominal pain, vomiting",Appendicitis Concern,HIGH,GI
My lower back hurts after lifting something heavy for 3 days.,back pain|stiffness|body ache|fatigue|chills,"My lower back hurts after lifting something heavy for 3 days. Symptoms: back pain, stiffness, body ache, fatigue, chills",Musculoskeletal Back Strain,LOW,Musculoskeletal
I have localized pain under the left ribs for 5 days.,left upper abdominal pain,I have localized pain under the left ribs for 5 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"My symptoms are hard to describe, mostly pain around my spleen region for 2 days.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 2 days. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"Over the last 3 days, I am experiencing fever, fatigue, wheezing, cough and heartburn.",fever|fatigue|wheezing|cough|heartburn,"Over the last 3 days, I am experiencing fever, fatigue, wheezing, cough and heartburn. Symptoms: fever, fatigue, wheezing, cough, heartburn",Bronchitis,MEDIUM,Respiratory
"For the last 2 days, I have been dealing with chest pain, fatigue, fever, cough and wheezing.",chest pain|fatigue|fever|cough|wheezing,"For the last 2 days, I have been dealing with chest pain, fatigue, fever, cough and wheezing. Symptoms: chest pain, fatigue, fever, cough, wheezing",Bronchitis,MEDIUM,Respiratory
"These symptoms started 1 day ago: ear pain, fever and headache.",ear pain|fever|headache,"These symptoms started 1 day ago: ear pain, fever and headache. Symptoms: ear pain, fever, headache",Ear Infection,MEDIUM,ENT
"Since 1 day, I have had cough, chest pain, fatigue, wheezing, shortness of breath and bloating.",cough|chest pain|fatigue|wheezing|shortness of breath|bloating,"Since 1 day, I have had cough, chest pain, fatigue, wheezing, shortness of breath and bloating. Symptoms: cough, chest pain, fatigue, wheezing, shortness of breath, bloating",Asthma Exacerbation,HIGH,Respiratory
"I have been noticing dizziness, nausea, sensitivity to light and bloating over the past 1 day.",dizziness|nausea|sensitivity to light|bloating,"I have been noticing dizziness, nausea, sensitivity to light and bloating over the past 1 day. Symptoms: dizziness, nausea, sensitivity to light, bloating",Migraine,LOW,Neurology
"For 3 days, my back has been aching after physical strain.",body ache|fatigue|stiffness|back pain,"For 3 days, my back has been aching after physical strain. Symptoms: body ache, fatigue, stiffness, back pain",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Since 4 days, I have had nausea, abdominal pain and vomiting.",nausea|abdominal pain|vomiting,"Since 4 days, I have had nausea, abdominal pain and vomiting. Symptoms: nausea, abdominal pain, vomiting",Appendicitis Concern,HIGH,GI
"Over the last 4 days, I am experiencing wheezing, cough and heartburn.",wheezing|cough|heartburn,"Over the last 4 days, I am experiencing wheezing, cough and heartburn. Symptoms: wheezing, cough, heartburn",Asthma Exacerbation,HIGH,Respiratory
"I have headache, fever, rash, body ache, nausea and excessive thirst for 1 week.",headache|fever|rash|body ache|nausea|excessive thirst,"I have headache, fever, rash, body ache, nausea and excessive thirst for 1 week. Symptoms: headache, fever, rash, body ache, nausea, excessive thirst",Dengue-like Viral Fever,MEDIUM,Fever
"I have headache, fatigue, sore throat, swollen glands and fever for 3 days.",headache|fatigue|sore throat|swollen glands|fever,"I have headache, fatigue, sore throat, swollen glands and fever for 3 days. Symptoms: headache, fatigue, sore throat, swollen glands, fever",Mononucleosis-like Illness,MEDIUM,Infectious
"These symptoms started 2 days ago: headache, dizziness, nausea and heartburn.",headache|dizziness|nausea|heartburn,"These symptoms started 2 days ago: headache, dizziness, nausea and heartburn. Symptoms: headache, dizziness, nausea, heartburn",Migraine,LOW,Neurology
"These symptoms started 1 week ago: ear pain, fever, sore throat, headache and blurred vision.",ear pain|fever|sore throat|headache|blurred vision,"These symptoms started 1 week ago: ear pain, fever, sore throat, headache and blurred vision. Symptoms: ear pain, fever, sore throat, headache, blurred vision",Ear Infection,MEDIUM,ENT
"My main problems are fatigue, chest pain and fever and it started 1 week ago.",fatigue|chest pain|fever,"My main problems are fatigue, chest pain and fever and it started 1 week ago. Symptoms: fatigue, chest pain, fever",Bronchitis,MEDIUM,Respiratory
I have localized pain under the left ribs for 5 days.,left upper abdominal pain,I have localized pain under the left ribs for 5 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"For the last 5 days, I have been dealing with sore throat and cough.",sore throat|cough,"For the last 5 days, I have been dealing with sore throat and cough. Symptoms: sore throat, cough",Common Cold,LOW,Respiratory
"I have been noticing fever, swollen glands, fatigue and headache over the past 2 days.",fever|swollen glands|fatigue|headache,"I have been noticing fever, swollen glands, fatigue and headache over the past 2 days. Symptoms: fever, swollen glands, fatigue, headache",Mononucleosis-like Illness,MEDIUM,Infectious
"My symptoms are hard to describe, mostly pain around my spleen region for 2 days.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 2 days. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"The pain has been fever, vomiting, nausea, abdominal pain, right lower abdominal pain and appetite loss for 3 days.",fever|vomiting|nausea|abdominal pain|right lower abdominal pain|appetite loss,"The pain has been fever, vomiting, nausea, abdominal pain, right lower abdominal pain and appetite loss for 3 days. Symptoms: fever, vomiting, nausea, abdominal pain, right lower abdominal pain, appetite loss",Appendicitis Concern,HIGH,GI
"Over the last 4 days, I am experiencing loss of taste, fever and loss of smell.",loss of taste|fever|loss of smell,"Over the last 4 days, I am experiencing loss of taste, fever and loss of smell. Symptoms: loss of taste, fever, loss of smell",COVID-19,HIGH,Respiratory
"These symptoms started 3 days ago: bloating, heartburn, appetite loss, nausea and abdominal pain.",bloating|heartburn|appetite loss|nausea|abdominal pain,"These symptoms started 3 days ago: bloating, heartburn, appetite loss, nausea and abdominal pain. Symptoms: bloating, heartburn, appetite loss, nausea, abdominal pain",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Since 5 days, I have had wheezing, cough, chest pain, fatigue, fever and bloating.",wheezing|cough|chest pain|fatigue|fever|bloating,"Since 5 days, I have had wheezing, cough, chest pain, fatigue, fever and bloating. Symptoms: wheezing, cough, chest pain, fatigue, fever, bloating",Bronchitis,MEDIUM,Respiratory
I have been noticing wheezing and cough over the past 3 days.,wheezing|cough,"I have been noticing wheezing and cough over the past 3 days. Symptoms: wheezing, cough",Bronchitis,MEDIUM,Respiratory
"For the last 1 week, I have been dealing with headache and fever.",headache|fever,"For the last 1 week, I have been dealing with headache and fever. Symptoms: headache, fever",Ear Infection,MEDIUM,ENT
"I have fatigue, fever and cough for 4 days.",fatigue|fever|cough,"I have fatigue, fever and cough for 4 days. Symptoms: fatigue, fever, cough",Pneumonia,HIGH,Respiratory
"My symptoms are hard to describe, mostly pain around my spleen region for 2 days.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 2 days. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have been noticing facial pain, congestion, sore throat, runny nose, headache and blurred vision over the past 1 day.",facial pain|congestion|sore throat|runny nose|headache|blurred vision,"I have been noticing facial pain, congestion, sore throat, runny nose, headache and blurred vision over the past 1 day. Symptoms: facial pain, congestion, sore throat, runny nose, headache, blurred vision",Sinusitis,LOW,Respiratory
"I have fever, right lower abdominal pain, abdominal pain, vomiting, nausea, appetite loss and dizziness and the discomfort has been there for 4 days.",fever|right lower abdominal pain|abdominal pain|vomiting|nausea|appetite loss|dizziness,"I have fever, right lower abdominal pain, abdominal pain, vomiting, nausea, appetite loss and dizziness and the discomfort has been there for 4 days. Symptoms: fever, right lower abdominal pain, abdominal pain, vomiting, nausea, appetite loss, dizziness",Appendicitis Concern,HIGH,GI
"Over the last 2 days, I am experiencing shortness of breath, fever and cough.",shortness of breath|fever|cough,"Over the last 2 days, I am experiencing shortness of breath, fever and cough. Symptoms: shortness of breath, fever, cough",Pneumonia,HIGH,Respiratory
I am feeling pain in back of the spleen from past 3 days.,left upper abdominal pain,I am feeling pain in back of the spleen from past 3 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"My main problems are fever, shortness of breath, chest pain, fatigue, cough and blurred vision and it started 1 week ago.",fever|shortness of breath|chest pain|fatigue|cough|blurred vision,"My main problems are fever, shortness of breath, chest pain, fatigue, cough and blurred vision and it started 1 week ago. Symptoms: fever, shortness of breath, chest pain, fatigue, cough, blurred vision",Pneumonia,HIGH,Respiratory
"My symptoms are hard to describe, mostly pain around my spleen region for 1 day.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 1 day. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"For the last 1 day, I have been dealing with congestion, itchy eyes and sneezing.",congestion|itchy eyes|sneezing,"For the last 1 day, I have been dealing with congestion, itchy eyes and sneezing. Symptoms: congestion, itchy eyes, sneezing",Allergic Rhinitis,LOW,Allergy
"For the last 2 days, I have been dealing with dizziness, nausea and headache.",dizziness|nausea|headache,"For the last 2 days, I have been dealing with dizziness, nausea and headache. Symptoms: dizziness, nausea, headache",Migraine,LOW,Neurology
"My main problems are runny nose, sore throat and cough and it started 3 days ago.",runny nose|sore throat|cough,"My main problems are runny nose, sore throat and cough and it started 3 days ago. Symptoms: runny nose, sore throat, cough",Common Cold,LOW,Respiratory
"My main problems are body ache, headache and fever and it started 3 days ago.",body ache|headache|fever,"My main problems are body ache, headache and fever and it started 3 days ago. Symptoms: body ache, headache, fever",Dengue-like Viral Fever,MEDIUM,Fever
I have left upper abdominal discomfort under my ribs for 3 days.,left upper abdominal pain,I have left upper abdominal discomfort under my ribs for 3 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have been noticing sensitivity to light, nausea, dizziness and blurred vision over the past 1 week.",sensitivity to light|nausea|dizziness|blurred vision,"I have been noticing sensitivity to light, nausea, dizziness and blurred vision over the past 1 week. Symptoms: sensitivity to light, nausea, dizziness, blurred vision",Migraine,LOW,Neurology
